hum,weathersit,holiday,season,atemp,temp,hr,week,cnt
0.74,2,0,3,0.62,0.66,3,2,2
0.52,1,0,1,0.26,0.24,3,2,7
0.77,2,0,4,0.47,0.48,21,0,105
0.88,2,0,3,0.55,0.6,22,6,180
0.56,1,0,2,0.62,0.6,2,4,5
0.63,1,0,4,0.48,0.5,5,1,29
0.33,1,0,1,0.21,0.26,15,5,138
0.88,1,0,4,0.44,0.44,1,5,28
0.44,2,0,2,0.44,0.44,11,1,163
0.35,1,0,1,0.44,0.44,16,2,276
0.54,1,0,1,0.17,0.12,4,1,2
0.89,3,0,3,0.58,0.64,0,6,69
0.72,2,0,2,0.48,0.5,15,0,266
0.55,1,1,2,0.5,0.52,11,5,136
0.73,1,0,2,0.59,0.6,0,5,94
0.93,3,0,1,0.2,0.24,1,4,5
0.83,1,0,3,0.58,0.62,22,1,150
0.78,2,0,2,0.58,0.6,2,2,15
0.73,1,0,3,0.59,0.62,4,4,8
0.7,2,0,1,0.21,0.24,3,3,2
0.87,3,0,2,0.3,0.3,13,4,68
0.55,1,0,1,0.12,0.12,5,4,19
0.66,3,0,1,0.41,0.4,5,5,29
0.94,2,0,4,0.52,0.54,1,4,12
0.47,1,0,1,0.23,0.22,18,2,167
0.56,1,0,2,0.52,0.54,9,0,251
0.82,1,0,3,0.45,0.46,2,6,79
0.37,1,0,4,0.41,0.4,11,1,130
0.82,2,0,2,0.39,0.38,17,6,257
0.59,1,0,2,0.45,0.46,1,2,15
0.42,1,0,3,0.65,0.72,20,5,269
0.55,1,0,2,0.48,0.5,0,2,25
0.46,1,0,1,0.35,0.34,15,0,182
0.42,1,0,3,0.85,0.9,10,5,106
0.75,1,0,1,0.26,0.24,8,6,64
0.83,2,0,2,0.52,0.54,2,0,93
0.7,1,0,3,0.65,0.7,23,2,81
0.42,2,1,1,0.3,0.34,1,1,13
0.6,1,0,3,0.52,0.54,1,1,18
0.66,1,0,4,0.3,0.32,3,6,15
0.46,1,0,4,0.27,0.28,17,0,136
0.88,3,0,4,0.53,0.56,7,5,147
0.52,1,1,2,0.52,0.54,14,5,163
0.82,3,0,4,0.41,0.4,23,4,13
0.69,2,0,2,0.61,0.64,13,1,139
0.56,1,0,2,0.52,0.54,23,2,113
1.0,2,0,1,0.42,0.42,10,0,31
0.22,1,0,2,0.53,0.56,14,3,223
0.83,1,0,2,0.61,0.66,9,0,270
0.25,1,0,1,0.23,0.22,12,4,72
0.36,1,0,1,0.18,0.14,10,3,59
0.52,2,0,3,0.77,0.82,14,3,145
0.58,1,0,3,0.71,0.76,11,2,224
0.87,2,0,1,0.21,0.24,4,4,3
0.6,1,0,1,0.23,0.24,23,5,23
0.77,1,0,2,0.47,0.48,20,0,259
0.64,2,0,4,0.52,0.54,13,2,272
0.36,2,0,2,0.29,0.3,19,5,135
0.37,1,0,1,0.41,0.4,12,1,177
0.41,1,0,1,0.24,0.22,16,5,90
0.89,1,1,3,0.59,0.66,5,1,4
0.49,1,0,1,0.08,0.1,8,4,178
0.6,2,0,4,0.52,0.54,15,2,191
0.68,2,0,3,0.52,0.54,19,0,245
0.6,1,0,2,0.52,0.54,3,5,8
0.46,1,0,2,0.7,0.78,14,2,153
0.88,1,0,2,0.52,0.54,7,0,40
0.49,1,0,2,0.52,0.54,9,6,218
0.83,1,0,3,0.64,0.68,3,4,6
0.81,3,0,2,0.32,0.36,23,0,17
0.83,1,0,3,0.61,0.66,6,2,190
0.82,1,0,4,0.41,0.4,6,2,112
0.47,2,0,4,0.23,0.22,5,0,3
0.75,3,0,1,0.2,0.22,9,6,122
0.47,1,0,4,0.42,0.42,3,4,3
0.5,1,0,4,0.35,0.36,5,4,42
0.5,1,0,3,0.62,0.66,1,6,95
0.42,2,0,1,0.32,0.3,22,6,26
0.52,2,0,3,0.74,0.8,14,3,236
0.54,2,0,3,0.64,0.68,1,0,127
1.0,3,0,2,0.47,0.48,7,6,32
0.72,1,0,2,0.45,0.46,22,5,151
0.49,1,0,4,0.3,0.34,13,1,142
0.73,1,0,3,0.59,0.62,1,5,20
0.5,1,0,1,0.15,0.14,4,6,3
0.45,2,0,1,0.3,0.3,14,4,81
0.48,1,0,4,0.47,0.48,12,4,199
0.88,3,0,2,0.55,0.6,5,2,29
0.43,1,0,2,0.7,0.78,15,5,243
0.87,1,1,4,0.41,0.4,7,1,264
0.87,2,0,4,0.32,0.34,4,0,7
0.82,1,0,4,0.44,0.44,5,3,32
1.0,2,0,1,0.42,0.42,2,0,9
0.75,2,0,1,0.21,0.24,9,4,137
0.35,1,0,1,0.23,0.26,13,0,118
0.61,1,1,4,0.32,0.3,6,4,6
0.59,1,0,4,0.48,0.5,23,6,196
0.82,2,0,2,0.45,0.46,23,6,91
0.28,1,0,1,0.61,0.6,15,4,106
0.62,2,0,3,0.71,0.76,13,4,186
0.87,1,0,4,0.36,0.34,1,1,8
0.83,2,0,3,0.61,0.66,23,6,120
0.94,3,0,3,0.52,0.54,8,2,209
0.39,1,0,1,0.29,0.32,14,3,120
0.74,1,0,3,0.7,0.72,2,4,4
0.87,2,0,1,0.32,0.28,0,2,10
0.64,2,0,4,0.52,0.54,18,0,145
0.63,3,0,3,0.83,0.82,23,5,48
0.87,2,0,2,0.3,0.3,19,4,130
1.0,2,0,2,0.27,0.28,3,4,1
0.59,1,0,4,0.45,0.46,22,5,143
0.75,2,0,1,0.3,0.3,6,6,10
0.83,1,0,4,0.5,0.52,6,5,137
0.88,2,0,4,0.48,0.5,13,4,74
0.32,1,0,1,0.18,0.2,18,2,152
0.64,1,0,1,0.23,0.2,22,5,43
0.94,1,0,2,0.53,0.56,6,5,97
0.65,2,0,2,0.64,0.68,1,2,16
0.75,1,1,4,0.23,0.22,7,4,56
0.77,1,0,2,0.5,0.52,11,2,49
0.77,1,1,4,0.5,0.52,22,1,112
0.48,1,0,3,0.67,0.74,9,3,209
0.48,2,0,3,0.67,0.72,0,6,191
0.44,1,0,1,0.18,0.22,4,0,1
0.93,2,0,1,0.2,0.18,7,2,222
0.51,1,0,2,0.48,0.5,2,6,69
0.52,1,0,4,0.21,0.24,2,4,9
0.78,2,1,3,0.61,0.66,4,1,12
0.64,1,0,2,0.61,0.6,4,4,16
0.81,3,0,4,0.33,0.36,15,4,62
0.86,2,0,1,0.2,0.16,0,3,7
0.53,1,0,1,0.33,0.34,0,4,17
0.94,2,0,1,0.41,0.4,5,0,6
0.52,2,0,1,0.27,0.28,12,0,255
0.73,2,0,2,0.59,0.62,4,5,6
0.83,1,0,2,0.61,0.66,5,2,26
0.77,2,0,2,0.42,0.42,2,4,6
0.64,1,0,2,0.48,0.5,5,6,8
0.6,1,0,3,0.61,0.6,3,4,9
0.78,1,0,2,0.61,0.66,4,2,5
0.46,1,0,1,0.14,0.14,0,1,9
0.47,1,0,1,0.17,0.16,19,1,95
0.65,1,0,1,0.27,0.28,21,6,68
0.75,1,0,1,0.3,0.28,10,6,203
0.75,1,0,1,0.21,0.2,4,3,1
0.83,1,0,2,0.64,0.68,2,2,8
0.58,2,0,3,0.65,0.7,11,1,150
1.0,3,0,1,0.24,0.2,12,6,48
0.65,1,0,3,0.24,0.64,3,5,6
0.55,1,0,1,0.18,0.18,10,3,39
0.55,1,0,1,0.23,0.22,16,4,24
0.77,2,0,4,0.5,0.52,15,3,70
0.72,1,0,4,0.45,0.46,2,1,12
0.57,1,0,2,0.64,0.68,20,1,166
0.62,1,0,1,0.39,0.38,21,6,82
0.69,1,0,2,0.59,0.6,13,4,265
0.56,2,0,4,0.24,0.26,2,4,8
0.77,2,0,2,0.44,0.44,5,0,6
0.89,2,0,4,0.58,0.64,10,1,154
0.67,1,0,3,0.45,0.46,19,4,232
0.49,1,0,2,0.52,0.54,12,4,264
0.93,2,0,4,0.36,0.36,21,5,171
0.88,2,0,1,0.44,0.44,19,5,233
0.36,1,0,2,0.3,0.34,0,3,30
0.62,1,0,4,0.44,0.44,6,0,16
0.93,1,0,1,0.3,0.3,23,2,26
0.34,1,1,1,0.32,0.34,19,1,172
0.93,3,0,1,0.23,0.22,1,3,7
0.79,1,0,2,0.67,0.7,0,2,29
0.62,1,0,3,0.68,0.74,3,6,43
0.66,1,0,3,0.7,0.74,23,2,73
0.7,2,0,1,0.33,0.32,20,1,88
0.62,2,0,2,0.44,0.44,12,3,124
0.83,2,0,3,0.58,0.64,10,2,161
0.47,1,0,1,0.2,0.18,20,0,57
0.4,1,1,1,0.39,0.38,14,1,153
0.78,3,0,3,0.55,0.58,23,0,45
0.67,3,0,4,0.42,0.42,8,0,62
0.55,1,0,1,0.21,0.22,7,4,101
0.74,1,0,1,0.17,0.14,4,2,1
0.49,2,0,1,0.3,0.34,16,5,113
0.65,2,0,1,0.26,0.26,19,2,146
0.76,2,0,2,0.41,0.4,1,6,82
0.78,1,0,3,0.59,0.64,0,4,60
0.88,2,0,2,0.48,0.5,9,5,233
0.83,3,0,2,0.5,0.52,15,6,78
0.87,2,0,2,0.32,0.34,12,3,87
0.52,1,0,3,0.53,0.56,22,6,279
0.3,1,0,3,0.86,0.96,15,5,169
0.55,1,0,1,0.18,0.18,1,1,19
0.55,2,0,2,0.5,0.52,0,3,38
0.8,1,0,4,0.27,0.22,0,2,17
0.73,1,0,2,0.59,0.6,3,2,2
0.4,1,0,1,0.41,0.4,18,3,222
0.88,1,0,4,0.44,0.44,4,0,14
0.72,1,0,4,0.44,0.44,21,0,99
0.41,1,0,1,0.26,0.28,11,0,227
0.66,1,0,4,0.32,0.34,0,5,44
0.62,1,0,1,0.44,0.44,14,2,132
0.93,3,0,2,0.23,0.24,5,5,12
0.88,3,0,3,0.55,0.58,6,6,15
0.44,1,0,2,0.62,0.66,3,4,4
0.76,2,0,4,0.32,0.32,9,1,211
0.46,1,0,4,0.33,0.36,15,3,115
0.88,2,0,3,0.55,0.58,7,6,37
0.43,1,0,3,0.67,0.74,12,3,260
0.94,2,0,2,0.41,0.4,7,0,39
0.4,1,0,3,0.65,0.74,14,3,196
0.31,1,0,2,0.47,0.48,11,1,178
0.61,1,0,1,0.3,0.32,21,5,32
0.82,3,0,4,0.42,0.42,12,2,18
0.66,1,0,3,0.7,0.74,4,5,6
0.21,1,0,1,0.44,0.44,22,6,134
0.52,2,0,4,0.27,0.28,0,4,32
0.37,1,0,4,0.39,0.38,16,2,207
0.94,3,0,2,0.52,0.54,21,6,59
0.71,1,0,1,0.35,0.34,10,3,139
0.75,1,0,1,0.24,0.24,3,1,2
0.56,1,0,1,0.3,0.26,1,2,7
0.7,1,0,4,0.23,0.24,4,6,7
0.65,2,0,3,0.61,0.64,13,4,189
0.47,1,0,4,0.44,0.44,1,4,11
0.7,1,0,1,0.26,0.24,2,5,12
0.61,1,0,4,0.26,0.28,9,6,149
0.66,1,0,3,0.7,0.74,10,5,123
0.88,1,0,2,0.55,0.6,4,0,23
0.54,1,0,1,0.12,0.12,7,0,17
0.63,1,0,3,0.5,0.52,6,3,172
0.88,3,0,2,0.53,0.56,8,1,270
0.83,1,0,3,0.61,0.66,6,5,163
0.71,1,0,2,0.32,0.36,6,1,110
0.88,3,0,2,0.53,0.56,2,3,1
0.26,1,0,1,0.27,0.32,21,6,33
0.52,1,0,2,0.7,0.76,15,3,182
0.94,3,0,3,0.59,0.66,10,4,49
0.84,2,0,3,0.67,0.7,0,0,80
0.74,2,0,2,0.67,0.7,11,5,235
0.74,3,1,3,0.64,0.68,9,1,152
0.52,2,0,4,0.26,0.28,5,3,27
0.56,3,0,1,0.53,0.56,14,5,85
0.81,1,0,4,0.33,0.3,9,0,126
0.52,1,0,1,0.26,0.26,14,2,63
0.94,2,0,4,0.52,0.54,0,4,15
0.88,1,0,3,0.56,0.62,5,6,11
0.52,2,0,3,0.74,0.8,10,3,214
0.69,1,0,2,0.61,0.62,10,3,131
0.44,1,0,1,0.45,0.46,17,6,213
0.41,1,0,2,0.45,0.46,0,4,20
0.55,2,0,2,0.5,0.52,1,0,64
0.7,1,0,1,0.26,0.24,2,6,44
0.67,1,0,2,0.42,0.42,5,3,27
0.58,1,0,4,0.39,0.38,18,6,272
0.56,1,0,1,0.27,0.26,1,0,23
0.42,1,0,1,0.27,0.3,12,1,96
0.88,2,0,4,0.5,0.52,4,5,5
0.87,3,0,4,0.3,0.3,18,2,143
0.94,2,0,2,0.48,0.5,6,4,103
0.28,1,0,2,0.52,0.54,13,1,281
0.78,1,0,3,0.59,0.62,23,5,195
0.5,2,0,2,0.62,0.64,22,1,91
0.37,1,0,2,0.82,0.9,14,3,145
0.63,1,0,4,0.47,0.48,2,0,92
0.73,1,0,3,0.61,0.64,21,2,280
0.51,2,0,1,0.44,0.44,2,3,2
0.94,1,0,2,0.5,0.52,6,0,18
0.74,2,0,4,0.21,0.18,9,1,220
0.51,1,0,3,0.67,0.74,9,6,179
0.66,1,0,3,0.7,0.74,15,4,270
0.88,2,0,2,0.53,0.56,3,1,2
0.81,2,0,1,0.24,0.24,5,3,8
0.77,1,0,2,0.52,0.54,23,3,125
0.68,2,0,3,0.48,0.5,10,6,249
0.93,3,0,1,0.2,0.22,11,3,41
0.26,1,0,3,0.7,0.8,12,5,263
0.68,1,0,1,0.5,0.52,22,4,169
0.7,1,0,3,0.7,0.74,22,1,207
0.7,1,0,1,0.23,0.24,6,1,90
0.3,2,0,1,0.41,0.4,0,0,72
0.61,1,0,2,0.61,0.62,21,6,227
0.75,1,0,3,0.74,0.76,23,4,123
0.32,1,0,4,0.39,0.38,13,4,224
0.81,1,0,4,0.36,0.34,2,0,31
0.43,1,0,4,0.35,0.36,14,3,181
0.83,1,0,2,0.61,0.66,5,3,39
0.88,1,0,1,0.47,0.48,4,4,5
0.87,1,0,4,0.32,0.3,5,2,18
0.71,2,0,4,0.33,0.34,19,6,182
0.53,1,0,4,0.3,0.32,23,5,95
0.69,2,0,1,0.18,0.2,11,6,62
0.56,2,0,1,0.24,0.26,10,5,162
0.7,2,0,3,0.68,0.72,5,4,40
0.73,2,0,4,0.53,0.56,0,1,48
0.82,3,0,4,0.39,0.38,18,0,107
0.46,1,0,1,0.33,0.34,20,1,201
0.77,1,0,4,0.48,0.5,3,3,4
0.94,2,0,2,0.52,0.6,0,2,35
0.88,1,0,3,0.64,0.68,4,2,6
0.88,1,0,2,0.45,0.46,0,2,11
0.83,1,0,2,0.53,0.56,0,5,95
0.35,2,0,1,0.23,0.22,15,5,156
0.87,1,0,4,0.38,0.36,0,3,13
0.48,2,0,1,0.29,0.26,17,1,164
0.59,1,0,4,0.45,0.46,6,1,168
1.0,3,0,4,0.45,0.46,2,3,6
0.52,1,0,1,0.2,0.24,9,2,135
0.7,2,0,1,0.23,0.24,1,5,6
0.59,2,0,2,0.45,0.46,13,3,143
0.43,2,0,4,0.53,0.56,14,3,270
0.43,1,1,1,0.33,0.36,16,1,97
0.78,1,0,2,0.55,0.58,23,6,145
0.82,2,0,2,0.42,0.42,19,2,130
0.66,2,0,3,0.7,0.74,10,4,142
0.78,1,0,4,0.59,0.62,20,2,238
0.62,2,0,1,0.41,0.4,2,6,28
0.84,1,0,3,0.67,0.7,19,0,185
0.87,2,0,1,0.24,0.24,23,3,60
0.28,1,0,2,0.65,0.72,10,4,139
0.43,1,0,1,0.14,0.16,19,0,41
0.6,1,0,1,0.53,0.56,11,4,211
0.67,1,0,2,0.47,0.48,5,3,21
0.74,2,0,1,0.17,0.18,1,0,50
0.8,1,0,4,0.27,0.22,6,5,87
0.87,2,0,4,0.39,0.38,5,1,24
0.53,1,0,2,0.83,0.86,12,3,169
0.66,1,0,3,0.76,0.78,1,0,96
0.93,2,0,2,0.32,0.34,10,3,31
0.81,1,0,4,0.33,0.3,3,6,17
0.75,3,0,1,0.26,0.24,22,0,55
0.31,1,0,1,0.3,0.34,14,0,175
0.26,1,0,1,0.11,0.14,17,0,55
0.22,1,0,1,0.53,0.56,12,1,126
0.54,1,0,4,0.44,0.44,16,2,238
0.46,1,0,1,0.29,0.34,22,1,45
0.56,2,0,3,0.79,0.82,13,3,147
0.54,1,0,4,0.44,0.44,1,0,109
0.94,2,0,4,0.53,0.56,5,5,17
0.48,2,0,2,0.47,0.48,1,4,23
0.5,1,0,1,0.36,0.36,2,6,38
0.88,1,0,2,0.56,0.62,3,0,26
0.53,1,0,3,0.62,0.64,0,0,115
0.77,1,0,2,0.42,0.42,1,1,24
0.66,2,0,1,0.35,0.34,20,5,91
0.83,1,0,3,0.61,0.66,5,2,42
0.52,1,0,4,0.53,0.56,23,0,62
0.35,1,0,2,0.41,0.4,22,5,158
0.93,4,0,1,0.2,0.22,16,3,36
0.81,2,0,1,0.26,0.26,12,6,221
0.93,3,0,1,0.35,0.34,5,4,16
0.47,1,0,1,0.2,0.18,19,0,61
0.64,1,0,2,0.55,0.58,20,5,220
0.67,2,0,1,0.44,0.44,12,6,167
0.52,1,0,1,0.3,0.3,22,3,59
0.76,1,0,4,0.33,0.36,23,2,53
0.84,1,0,3,0.67,0.7,2,4,14
0.83,2,0,2,0.5,0.52,5,6,4
0.82,2,0,2,0.41,0.4,6,0,13
0.83,2,0,2,0.5,0.52,22,5,132
0.93,2,0,4,0.36,0.36,6,6,20
1.0,3,0,4,0.44,0.44,12,3,33
0.79,1,0,3,0.67,0.7,3,3,6
0.83,2,0,2,0.5,0.52,10,5,130
0.63,1,0,2,0.45,0.46,2,5,10
0.71,1,0,1,0.33,0.34,4,3,2
0.37,1,0,1,0.21,0.22,20,3,165
0.81,1,0,4,0.33,0.34,1,4,15
0.78,1,0,3,0.59,0.62,6,3,105
0.41,1,0,1,0.26,0.26,9,2,151
0.4,1,0,1,0.36,0.36,18,1,235
0.54,2,0,4,0.39,0.38,14,4,201
0.24,1,0,2,0.44,0.44,0,0,85
0.88,3,0,4,0.48,0.5,11,4,52
0.87,2,0,4,0.36,0.36,9,1,190
0.83,1,0,3,0.61,0.66,6,1,161
0.88,1,0,2,0.56,0.62,7,0,52
0.57,2,0,1,0.29,0.32,11,4,79
0.5,1,0,1,0.14,0.16,5,4,2
0.21,1,0,1,0.55,0.58,21,5,72
0.94,2,0,4,0.5,0.52,9,3,167
0.69,1,0,3,0.61,0.64,9,1,176
0.33,1,0,3,0.67,0.76,13,4,232
0.6,3,0,2,0.53,0.56,1,1,14
0.88,2,0,3,0.52,0.54,1,2,14
0.72,1,0,2,0.45,0.46,5,4,24
0.94,2,0,4,0.5,0.52,1,2,11
0.48,1,0,3,0.67,0.74,23,4,171
0.56,2,0,4,0.24,0.26,6,3,118
0.88,1,0,4,0.48,0.5,23,0,123
0.4,1,0,1,0.2,0.2,11,6,178
0.82,2,0,4,0.42,0.42,0,1,21
0.56,1,0,1,0.26,0.28,3,5,4
0.51,1,0,4,0.2,0.2,0,0,74
0.5,2,0,1,0.35,0.36,19,2,281
0.58,2,0,4,0.41,0.4,13,4,248
0.87,2,0,4,0.3,0.28,8,0,90
0.54,2,0,1,0.42,0.42,20,3,121
0.73,2,0,2,0.59,0.62,20,5,144
1.0,2,0,4,0.38,0.36,1,1,4
0.79,1,0,3,0.67,0.7,6,5,139
0.36,2,0,1,0.29,0.3,2,0,48
0.77,1,0,1,0.42,0.42,5,4,29
0.76,1,0,4,0.35,0.36,20,0,124
0.89,1,0,2,0.59,0.66,0,3,41
0.7,1,0,1,0.29,0.24,21,0,42
0.73,2,0,3,0.59,0.6,5,0,11
0.83,1,0,3,0.55,0.58,1,2,10
0.4,2,0,1,0.18,0.2,13,1,54
0.51,1,0,4,0.48,0.5,12,4,179
0.76,2,0,1,0.3,0.32,12,3,98
0.36,1,0,4,0.27,0.3,15,6,198
0.94,2,0,4,0.42,0.42,20,1,200
0.88,1,0,3,0.55,0.6,7,0,37
0.93,2,0,4,0.35,0.36,1,6,100
0.33,1,0,3,0.83,0.92,15,4,194
0.88,1,0,3,0.56,0.62,3,1,4
0.94,1,0,2,0.53,0.56,4,3,6
0.87,2,1,1,0.21,0.24,18,1,66
0.64,1,0,2,0.53,0.56,10,5,148
0.73,2,0,2,0.59,0.62,10,5,199
0.78,1,0,2,0.59,0.62,0,3,47
0.65,1,0,3,0.65,0.7,22,3,171
0.79,1,0,3,0.64,0.68,4,2,4
0.53,2,0,3,0.83,0.86,21,5,236
0.4,1,0,2,0.88,0.92,14,4,118
0.39,1,0,3,0.65,0.72,21,3,221
0.77,2,0,2,0.5,0.52,10,1,190
0.61,1,0,4,0.33,0.32,0,4,42
0.89,1,0,3,0.59,0.66,2,4,8
0.87,2,0,1,0.41,0.4,21,6,34
0.48,1,0,4,0.5,0.52,16,3,281
0.42,1,0,3,0.85,0.9,14,2,124
0.41,1,0,2,0.45,0.46,23,4,115
0.49,2,0,1,0.55,0.58,0,5,54
0.66,1,0,2,0.7,0.74,22,3,129
0.69,2,0,4,0.47,0.48,11,2,193
0.83,3,0,2,0.58,0.62,22,4,151
0.35,1,0,3,0.65,0.74,13,2,229
0.94,3,0,3,0.56,0.64,21,4,82
0.45,2,0,3,0.68,0.76,15,1,280
0.32,1,0,2,0.62,0.68,20,3,225
0.42,1,0,3,0.82,0.88,18,0,243
0.71,1,1,4,0.42,0.42,0,1,49
0.62,1,0,1,0.41,0.4,9,4,185
0.58,2,0,2,0.67,0.72,20,6,188
0.41,1,0,2,0.24,0.24,9,6,100
0.74,2,0,3,0.67,0.7,5,2,19
0.7,1,0,3,0.68,0.72,23,4,177
0.47,2,0,2,0.41,0.4,11,6,198
0.79,1,0,3,0.67,0.7,21,1,130
0.83,2,0,3,0.61,0.66,5,1,28
0.5,1,0,3,0.62,0.66,3,4,7
0.57,1,0,3,0.62,0.64,4,4,5
0.45,1,0,3,0.64,0.7,10,3,138
0.88,2,0,3,0.56,0.62,5,5,26
0.78,2,0,3,0.59,0.62,6,1,94
0.83,1,0,3,0.64,0.68,4,3,4
0.69,2,0,1,0.18,0.16,1,2,3
0.88,2,0,4,0.45,0.46,23,1,62
0.6,1,0,4,0.29,0.24,20,0,119
0.52,2,0,2,0.23,0.24,1,0,20
0.27,1,0,3,0.79,0.9,15,1,129
0.88,1,0,2,0.55,0.58,0,6,94
0.81,1,0,4,0.3,0.26,0,6,108
0.43,1,0,1,0.62,0.6,21,4,233
0.59,1,0,3,0.74,0.78,9,4,210
0.54,3,0,2,0.41,0.4,14,5,229
0.82,1,0,2,0.47,0.48,6,2,184
0.71,1,0,4,0.42,0.42,11,3,144
0.44,1,0,4,0.23,0.22,4,5,5
0.47,2,0,1,0.44,0.44,20,3,274
0.41,1,0,3,0.71,0.8,11,3,149
0.84,2,0,3,0.67,0.7,4,6,4
1.0,2,0,1,0.42,0.42,7,5,134
0.83,2,0,2,0.52,0.54,10,4,130
0.62,1,0,4,0.35,0.36,19,6,257
0.7,2,0,4,0.33,0.32,1,2,6
0.88,2,0,2,0.52,0.54,11,1,121
0.77,3,0,1,0.47,0.48,16,5,129
0.55,2,0,1,0.21,0.22,21,4,48
0.49,1,0,1,0.29,0.3,22,2,55
0.36,1,0,1,0.45,0.46,21,1,195
0.84,1,0,3,0.67,0.7,4,3,7
0.49,1,0,1,0.3,0.32,18,5,153
0.47,3,0,2,0.45,0.46,11,3,119
0.27,1,0,2,0.35,0.36,13,2,211
0.87,1,0,4,0.39,0.38,5,1,21
0.4,1,0,1,0.36,0.36,12,0,228
1.0,3,0,3,0.5,0.6,0,4,14
0.87,1,0,4,0.39,0.38,23,3,66
0.88,1,0,2,0.45,0.46,23,0,50
0.86,1,0,4,0.15,0.14,7,1,235
0.62,1,0,4,0.42,0.42,5,4,24
0.59,1,0,2,0.48,0.5,23,6,119
0.62,1,0,4,0.41,0.4,2,0,56
0.7,1,0,3,0.68,0.72,6,3,162
0.94,2,0,2,0.45,0.46,10,4,139
0.73,1,0,3,0.59,0.62,6,0,21
0.87,2,0,4,0.29,0.3,4,3,5
